7,0
6,1
6,2
23,3
2,4
5,5
6,6
23,7
23,8
21,9
5,10
5,11
24,12
8,13
21,14
5,15
15,16
24,17
8,18
21,19
15,20
15,21
24,22
8,23
12,24
7,25
6,26
6,27
23,28
2,29
7,30
6,31
23,32
23,33
2,34
5,35
1,36
14,37
8,38
21,39
18,40
1,41
24,42
8,43
12,44
15,45
15,46
24,47
8,48
12,49
7,50
11,51
3,52
3,53
2,54
7,55
11,56
14,57
3,58
2,59
18,60
1,61
14,62
14,63
16,64
18,65
1,66
0,67
19,68
12,69
18,70
22,71
0,72
19,73
12,74
10,75
11,76
17,77
3,78
13,79
10,80
11,81
17,82
3,83
13,84
18,85
20,86
14,87
16,88
16,89
9,90
22,91
0,92
19,93
4,94
9,95
22,96
0,97
19,98
4,99
10,100
10,101
17,102
17,103
13,104
10,105
20,106
17,107
13,108
13,109
20,110
20,111
20,112
16,113
16,114
9,115
22,116
0,117
19,118
4,119
9,120
22,121
0,122
19,123
4,124
